control_point_id,effect_date,actual_start_head
4,2030-10-21T00:00,-3.131996552525038
4,2030-10-28T00:00,-3.0844821288542335
4,2030-11-04T00:00,-3.041945285935867
4,2030-11-11T00:00,-3.1273932361043535
4,2030-11-18T00:00,-3.0898469793596632
4,2030-11-25T00:00,-3.066076287334681
4,2030-12-02T00:00,-3.0478941991021884
4,2030-12-09T00:00,-3.0330309702017075
4,2030-12-16T00:00,-3.0195569685949977
4,2030-12-23T00:00,-3.00474959974747
4,2030-12-30T00:00,-2.9944958692766477
4,2031-01-06T00:00,-2.989368713315571
4,2031-01-13T00:00,-2.9960958109628564
4,2031-01-20T00:00,-3.015447105666908
4,2031-01-27T00:00,-3.027730986655115
4,2031-02-03T00:00,-3.0445426665006607
4,2031-02-10T00:00,-3.0545578583337374
4,2031-02-17T00:00,-3.055458172954445
4,2031-02-24T00:00,-3.0482378241790684
4,2031-03-03T00:00,-3.03435237585677
4,2031-03-10T00:00,-3.018384338122928
4,2031-03-17T00:00,-2.9962437178820664
4,2031-03-24T00:00,-2.9861117864099924
4,2031-03-31T00:00,-2.9846376114159057
4,2031-04-07T00:00,-2.9618404503211195
4,2031-04-14T00:00,-2.9243119184415036
4,2031-04-21T00:00,-2.9046258465904202
4,2031-04-28T00:00,-2.8920222026282545
4,2031-05-05T00:00,-2.88892435585808
4,2031-05-12T00:00,-2.8907282425574294
4,2031-05-19T00:00,-2.8971871839797814
4,2031-05-26T00:00,-2.8951015587859956
4,2031-06-02T00:00,-2.9066813663343964
4,2031-06-09T00:00,-3.092506398677642
4,2031-06-16T00:00,-2.937959050203176
4,2031-06-23T00:00,-2.924639450857626
4,2031-06-30T00:00,-2.9385964045353603
5,2030-02-04T00:00,-1.3113056468814648
5,2030-02-11T00:00,-1.6951070835080828
5,2030-02-18T00:00,-1.9785064753517576
5,2030-02-25T00:00,-2.09153571921388
5,2030-03-04T00:00,-2.5464202174644015
5,2030-03-11T00:00,-2.5803422326166583
5,2030-03-18T00:00,-2.597860393935548
5,2030-03-25T00:00,-2.6069643727321363
5,2030-04-01T00:00,-2.522881979115482
5,2030-04-08T00:00,-2.5461804929893788
5,2030-04-15T00:00,-2.582897030776735
5,2030-04-22T00:00,-2.750771048417505
5,2030-04-29T00:00,-2.749863811605337
5,2030-05-06T00:00,-2.918604380654301
5,2030-05-13T00:00,-3.030539370803467
5,2030-05-20T00:00,-3.0474397080154176
5,2030-05-27T00:00,-3.07728349763795
5,2030-06-03T00:00,-3.101002300688151
5,2030-06-10T00:00,-3.1252773246586685
5,2030-06-17T00:00,-3.145914855239198
5,2030-06-24T00:00,-3.16588742216652
5,2030-07-01T00:00,-3.172553958126173
5,2030-07-08T00:00,-3.193150561286302
5,2030-07-15T00:00,-3.210629042804044
5,2030-07-22T00:00,-3.226346214831665
5,2030-07-29T00:00,-3.2384914454900127
5,2030-08-05T00:00,-3.2340320963724025
5,2030-08-12T00:00,-3.2334866607794766
5,2030-08-19T00:00,-3.238373002233857
5,2030-08-26T00:00,-3.246747459638641
