lag,response
34,1.212e-09
35,-1.352e-09
36,-8.506e-10
37,-1.191e-09
38,-2.921e-10
39,-6.799e-10
40,-8.089e-10
41,-8.105e-10
42,-1.543e-10
43,-3.733e-10
44,-1.487e-10
45,-6.61e-11
46,-3.079e-10
47,-5.213e-11
48,-2.863e-10
49,-4.055e-11
50,-2.767e-10
51,-2.845e-10
52,-4.375e-10
53,-2.78e-10
54,-4.062e-10
55,-4.894e-11
56,-1.03e-10
57,-6.879e-11
58,-7.516e-11
59,1.469e-11
60,1.894e-11
61,5.403e-11
62,1.365e-10
63,-3.866e-10
64,1.368e-10
65,-5.049e-10
66,-9.804e-11
67,-1.139e-11
68,-2.201e-10
69,-3.614e-11
70,-8.433e-11
71,-1.026e-10
72,-1.274e-10
73,5.534e-11
74,3.754e-12
75,-3.276e-11
76,-6.498e-11
0,-2.256e-08
1,-3.892e-08
2,-2.926e-08
3,-1.953e-08
4,-1.745e-08
5,-1.442e-08
6,-1.322e-08
7,1.491e-08
8,9.961e-09
9,6.384e-09
10,2.911e-09
11,-1.496e-08
12,-1.03e-08
13,-7.27e-09
14,-5.096e-09
15,-3.012e-09
16,-6.262e-10
17,3.879e-10
18,7.895e-10
19,-2.885e-10
20,6.767e-10
21,7.93e-10
22,1.587e-09
23,1.331e-09
24,3.74e-10
25,-8.182e-10
26,-6.711e-10
27,-3.962e-10
28,5.722e-10
29,-4.939e-10
30,-6.697e-10
31,-3.993e-10
32,-5.988e-10
33,-2.724e-10
34,2.901e-10
35,-4.914e-10
36,-1.557e-09
37,-3.724e-10
38,-1.02e-09
39,-3.811e-10
40,-2.304e-10
41,-1.154e-10
42,-3.283e-10
43,-1.769e-10
44,-2.332e-10
45,-2.431e-10
46,-1.044e-10
47,-2.508e-10
48,-5.846e-11
49,-1.642e-10
50,-6.165e-11
51,-1.022e-10
52,-8.13e-11
53,-1.393e-10
54,-2.694e-11
55,-1.051e-10
56,-1.096e-10
57,-8.906e-11
58,-5.695e-11
59,-1.895e-11
60,2.773e-11
61,-9.954e-12
62,-2.556e-12
63,-2.784e-11
64,-4.017e-11
65,-3.885e-11
66,-4.032e-11
67,-4.97e-11
68,-1.414e-10
69,-3.612e-11
70,-5.556e-11
71,-5.326e-11
72,-7.441e-11
73,-1.07e-10
74,-3.975e-11
75,-3.486e-11
76,-6.713e-11
0,-1.889e-08
1,-3.161e-08
2,-2.307e-08
3,-1.548e-08
4,-1.267e-08
5,-9.993e-09
6,-8.675e-09
7,1.142e-08
8,1.171e-08
9,5.64e-09
10,7.312e-09
11,-9.835e-09
12,-6.888e-09
13,-4.883e-09
14,-6.633e-09
15,-1.543e-09
16,1.461e-09
17,1.587e-09
18,2.001e-09
19,9.505e-10
20,1.455e-09
21,1.502e-09
22,2.187e-09
23,1.793e-09
24,7.086e-10
25,-1.343e-09
26,-1.084e-09
27,-6.905e-10
28,9.519e-10
29,-1.156e-09
30,-1.11e-09
31,-7.278e-10
32,-9.797e-10
33,-5.394e-10
34,4.805e-10
35,-6.343e-10
36,-5.942e-10
37,-7.038e-10
38,-3.08e-10
39,-4.518e-10
40,-4.909e-10
41,-4.731e-10
42,-1.525e-10
43,-2.423e-10
44,-1.307e-10
45,-8.766e-11
46,-1.9e-10
47,-6.888e-11
48,-1.722e-10
49,-5.639e-11
50,-1.526e-10
51,-1.727e-10
52,-2.538e-10
53,-1.882e-10
54,-2.348e-10
55,-7.185e-11
56,-7.73e-11
57,-5.753e-11
58,-4.946e-11
59,6.728e-12
60,7.146e-12
61,2.52e-11
62,6.184e-11
63,-1.876e-10
64,5.736e-11
65,-2.478e-10
66,-7.154e-11
67,-2.29e-11
68,-1.265e-10
69,-2.009e-11
70,-5.268e-11
71,-6.43e-11
72,-7.374e-11
73,2.26e-12
74,-7.555e-12
75,-2.541e-11
76,-4.42e-11
0,-1.696e-08
1,-3.447e-08
2,-3.412e-08
3,-2.818e-08
4,-2.74e-08
5,-2.65e-08
6,-2.526e-08
7,-2.518e-08
8,-2.199e-08
9,-1.92e-08
10,-1.701e-08
11,-2.078e-08
12,-1.97e-08
